Year,Present_Price,Kms_Driven,Owner,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol
2010,20.45,0.1171171171171171,0,0,1,0
2011,13.74,0.17517517517517517,0,0,0,1
2016,20.91,0.023023023023023025,0,0,0,1
2014,6.76,0.14114114114114112,0,0,1,0
2011,12.48,0.08908908908908908,0,0,1,0
2014,8.93,0.16516516516516516,0,0,1,0
2015,6.8,0.07107107107107107,0,0,0,1
2013,14.68,0.14314314314314314,0,0,0,1
2004,12.35,0.2695775775775776,0,0,0,1
2010,22.83,0.15915915915915915,0,0,0,1
2012,30.61,0.17717717717717715,0,0,1,0
2016,14.89,0.04504504504504504,0,0,1,0
2015,7.85,0.07907907907907907,0,0,1,0
2017,25.39,0.029029029029029027,0,0,1,0
2015,13.46,0.07507507507507506,0,0,1,0
2005,13.46,0.3937457457457457,0,0,1,0
2010,92.6,0.15515515515515513,0,0,1,0
2012,13.74,0.1111111111111111,0,0,0,1
2013,6.05,0.09309309309309308,0,0,0,1
2009,18.61,0.12312312312312311,0,0,0,1
2014,16.09,0.11559959959959959,0,0,1,0
2005,13.7,0.14914914914914915,0,0,0,1
2015,30.61,0.07907907907907907,0,0,1,0
2012,18.61,0.14314314314314314,0,0,0,1
2017,18.64,0.01641641641641642,0,0,0,1
2016,1.9,0.005005005005005005,0,0,0,1
2017,1.82,0.0018018018018018016,0,0,0,1
2017,1.78,0.007007007007007007,0,0,0,1
2014,3.45,0.03203203203203203,1,0,0,1
2013,1.5,0.029029029029029027,0,0,0,1
2016,1.5,0.035035035035035036,0,0,0,1
2016,1.78,0.011011011011011011,0,0,0,1
2016,1.5,0.01641641641641642,0,0,0,1
2014,2.4,0.013013013013013013,0,0,0,1
2016,1.4,0.06906906906906905,0,0,0,1
2015,1.47,0.03303303303303303,0,0,0,1
2015,1.47,0.03403403403403403,0,0,0,1
2013,1.47,0.06506506506506506,0,0,0,1
2015,1.47,0.05105105105105105,0,0,0,1
2013,1.9,0.009809809809809809,0,0,0,1
2016,1.26,0.010410410410410409,0,0,0,1
2016,1.17,0.011011011011011011,0,0,0,1
2013,1.47,0.09209209209209208,0,0,0,1
2012,1.75,0.02202202202202202,0,0,0,1
2009,1.75,0.07907907907907907,0,0,0,1
2016,0.8,0.013013013013013013,0,0,0,1
2017,0.87,0.005005005005005005,0,0,0,1
2017,0.84,0.009009009009009009,0,0,0,1
2017,0.87,0.02102102102102102,0,0,0,1
2017,0.95,0.006006006006006006,0,0,0,1
2016,0.95,0.0,0,0,0,1
2017,0.81,0.022622622622622622,0,0,0,1
2014,1.2,0.04604604604604604,0,0,0,1
2013,0.787,0.031031031031031032,0,0,0,1
2016,0.87,0.029029029029029027,0,0,0,1
2015,0.95,0.03223223223223223,0,0,0,1
2013,1.2,0.06306306306306306,0,0,0,1
2016,0.8,0.03903903903903904,0,0,0,1
2015,0.84,0.057057057057057055,0,0,0,1
2016,0.84,0.04904904904904905,0,0,0,1
2012,0.81,0.037037037037037035,0,0,0,1
2014,0.787,0.029029029029029027,0,0,0,1
2015,0.84,0.1151151151151151,0,0,0,1
2010,0.94,0.08908908908908908,0,0,0,1
2016,0.94,0.04704704704704705,0,0,0,1
2011,0.826,0.011011011011011011,0,0,0,1
2012,0.99,0.025025025025025023,0,0,0,1
2013,0.99,0.08908908908908908,0,0,0,1
2014,0.88,0.015015015015015015,0,0,0,1
2017,0.52,0.029029029029029027,0,0,0,1
2015,0.84,0.04504504504504504,0,0,0,1
2017,0.51,0.007007007007007007,0,0,0,1
2011,0.95,0.04704704704704705,0,0,0,1
2010,0.95,0.05305305305305305,0,0,0,1
2016,0.54,0.02702702702702703,0,0,0,1
2016,0.54,0.0,0,0,0,1
2014,0.81,0.08308308308308307,0,0,0,1
2013,0.73,0.023023023023023025,0,0,0,1
2015,0.54,0.02702702702702703,0,0,0,1
2012,0.83,0.01001001001001001,0,0,0,1
2015,0.55,0.012412412412412411,0,0,0,1
2014,0.64,0.026426426426426425,0,0,0,1
2017,0.51,0.0016016016016016012,0,0,0,1
2015,0.72,0.07627627627627627,0,0,0,1
2011,0.787,0.14914914914914915,0,0,0,1
2011,1.05,0.05905905905905906,0,0,0,1
2016,0.57,0.04704704704704705,0,0,0,1
2010,1.05,0.42542542542542544,0,0,0,1
2012,0.51,0.11911911911911911,0,0,0,1
2016,0.48,0.09909909909909909,0,0,0,1
2013,0.58,0.05905905905905906,0,0,0,1
2013,0.47,0.04104104104104104,0,0,0,1
2008,0.75,0.05105105105105105,1,0,0,1
2008,0.58,0.0028028028028028026,0,0,0,1
2010,0.52,0.043043043043043044,0,0,0,1
2013,0.51,0.06306306306306306,0,0,0,1
2013,0.57,0.035035035035035036,0,0,0,1
2005,0.57,0.10910910910910909,0,0,0,1
2008,0.75,0.11911911911911911,0,0,0,1
2007,0.75,0.09709709709709709,1,0,0,1
2013,0.65,0.04704704704704705,1,0,0,1
2008,0.787,0.09909909909909909,0,0,0,1
2010,0.51,0.06506506506506506,0,0,0,1
2011,0.57,0.06906906906906905,1,0,0,1
2010,6.79,0.1151151151151151,1,0,1,0
2016,5.7,0.0059919919919919915,1,0,0,1
2017,7.13,0.02398198198198198,0,0,0,1
2015,5.7,0.06866266266266265,0,0,0,1
2017,8.1,0.005875875875875875,0,0,0,1
2012,4.6,0.0706206206206206,0,0,0,1
2016,13.6,0.04438638638638639,0,0,0,1
2011,6.79,0.062270270270270274,0,0,0,1
2012,9.4,0.07127127127127127,0,0,0,1
2016,4.43,0.024024024024024024,0,0,0,1
2016,4.43,0.029029029029029027,0,0,0,1
2012,9.4,0.07107107107107107,0,0,0,1
2017,4.43,0.07605205205205204,0,0,0,1
2014,7.6,0.1544184184184184,0,0,1,0
2015,9.4,0.12188388388388387,0,0,1,0
2013,9.4,0.07146746746746746,0,0,0,1
2011,4.6,0.04407807807807808,0,0,0,1
2015,5.7,0.048404404404404404,0,0,0,1
2011,4.43,0.1131131131131131,0,0,0,1
2012,9.4,0.11911911911911911,0,0,1,0
2015,14.79,0.024824824824824822,0,0,0,1
2013,5.7,0.1051051051051051,0,0,1,0
2017,9.4,0.02931131131131131,0,0,0,1
2015,13.6,0.13513513513513511,0,0,1,0
2012,4.43,0.046464464464464464,0,0,0,1
2012,9.4,0.0637077077077077,0,0,1,0
2015,7.13,0.0708028028028028,1,0,0,1
2013,9.4,0.09709709709709709,0,0,1,0
2012,9.4,0.14114114114114112,0,0,1,0
2012,6.79,0.06906906906906905,0,0,0,1
2015,9.4,0.07107107107107107,0,0,0,1
2016,7.6,0.03303303303303303,0,0,0,1
2013,9.9,0.1125145145145145,0,0,0,1
2014,9.9,0.09509509509509509,0,0,1,0
2013,9.9,0.10759159159159158,0,0,0,1
2016,13.6,0.09822222222222221,0,0,0,1
2015,13.6,0.04904904904904905,0,0,0,1
2016,5.97,0.01021021021021021,0,0,0,1
2016,7.7,0.031035035035035033,0,0,0,1
2015,7.0,0.07913113113113113,0,0,0,1
2017,8.7,0.04144144144144144,0,0,0,1
2017,5.8,0.037037037037037035,0,0,0,1
2015,10.0,0.036692692692692694,0,0,0,1
2011,10.0,0.1378198198198198,0,0,0,1
2015,10.0,0.05425425425425425,0,0,0,1
2010,7.5,0.12152752752752752,0,0,0,1
2014,6.8,0.03203203203203203,0,0,0,1
2016,13.6,0.06056656656656657,0,0,0,1
2015,13.6,0.0426026026026026,0,0,0,1
2014,13.6,0.07933133133133131,0,0,0,1
2015,5.9,0.027957957957957955,0,0,0,1
2006,7.6,0.100012012012012,0,0,0,1
2014,14.0,0.1251251251251251,0,0,1,0
2016,11.8,0.017037037037037038,0,0,0,1
2013,5.9,0.018618618618618618,0,0,0,1
2016,8.5,0.029147147147147147,0,0,0,1
2016,7.9,0.05619419419419419,0,0,0,1
2015,7.5,0.08708708708708708,0,0,0,1
2016,13.6,0.02098098098098098,0,0,0,1
2014,6.4,0.037037037037037035,0,0,0,1
2015,6.1,0.06191591591591591,0,0,0,1
2014,6.8,0.06510310310310309,0,0,0,1
2015,13.09,0.11927127127127125,0,0,1,0
2016,11.6,0.06704304304304304,0,0,1,0
2015,5.9,0.11911911911911911,0,0,0,1
2009,11.0,0.17504304304304302,0,0,0,1
2017,12.5,0.017017017017017015,0,0,1,0
2016,5.9,0.009937937937937937,0,0,0,1
