duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents
12,1393,4,4,47,3,2
60,15653,2,4,21,2,1
12,1493,4,3,34,1,2
12,1386,2,2,26,1,1
36,8086,2,4,42,4,1
14,3973,1,4,22,1,1
30,4221,2,1,28,2,1
21,2241,4,2,50,2,1
48,3609,1,1,27,1,1
6,2080,1,2,24,1,1
18,1453,3,1,26,1,1
15,1478,4,3,33,2,1
60,6527,4,4,34,1,2
36,2862,4,3,30,1,1
12,3651,1,3,31,1,2
24,2896,2,1,29,1,1
12,1103,4,3,29,2,1
12,926,1,2,38,1,1
48,6331,4,4,46,2,1
9,2118,2,2,37,1,2
60,14027,4,2,27,1,1
6,433,4,2,24,1,2
27,2570,3,3,21,1,1
24,2325,2,3,32,1,1
13,1797,3,1,28,2,1
15,2511,1,4,23,1,1
15,3029,2,2,33,1,1
12,1555,4,4,55,2,2
12,691,4,3,35,2,1
18,2124,4,4,24,2,1
21,3275,1,4,36,1,1
18,3509,4,1,25,1,1
39,4933,2,2,25,2,1
24,1940,4,4,60,1,1
21,1188,2,4,39,1,2
24,6313,3,4,41,1,2
9,2301,2,4,22,1,1
18,7511,1,4,51,1,2
20,4272,1,4,24,2,1
12,976,4,4,35,2,1
6,590,3,3,26,1,1
15,1778,2,1,26,2,1
12,3016,3,1,24,1,1
18,3780,3,2,35,2,1
18,4165,2,2,36,2,2
48,6681,4,4,38,1,2
18,1216,4,3,23,1,1
24,5084,2,4,42,1,1
15,2327,2,3,25,1,1
12,886,4,2,21,1,1
18,3422,4,4,47,3,2
21,3976,2,3,35,1,1
18,6761,2,4,68,2,1
9,1364,3,4,59,1,1
36,10875,2,2,45,2,2
24,1474,4,3,33,1,1
15,3959,3,2,29,1,1
24,5804,4,2,27,2,1
15,2221,2,4,20,1,1
6,1343,1,4,46,2,2
15,874,4,1,24,1,1
18,1940,3,4,36,1,1
30,2181,4,4,36,2,1
24,2825,4,3,34,2,2
36,6614,4,4,34,2,1
12,1592,3,2,35,1,1
12,1107,2,2,20,1,2
15,3594,1,2,46,2,1
36,4454,4,4,34,2,1
11,2142,1,2,28,1,1
10,2848,1,2,32,1,2
24,3345,4,2,39,1,1
12,697,4,2,46,2,1
18,1049,4,4,21,1,1
9,1224,3,1,30,2,1
12,1498,4,1,23,1,1
9,745,3,2,28,1,1
24,3621,2,4,31,2,1
36,2145,2,1,24,2,1
24,1193,1,4,29,2,1
24,2538,4,4,47,2,2
15,1264,2,2,25,1,1
21,2923,1,1,28,1,1
36,8229,2,2,26,1,2
24,2028,2,2,30,2,1
42,6289,2,1,33,2,1
24,6579,4,2,29,1,1
15,1569,4,4,34,1,2
30,3857,4,4,40,1,1
12,804,4,4,38,1,1
45,1845,4,4,23,1,1
