Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission
2010,0.95,-0.25579848491417573,2,1,1
2016,0.55,-0.9244043850127825,2,1,1
2014,0.81,0.12993568821963591,2,1,1
2013,0.73,-0.6415326580479873,2,1,1
2015,0.54,-0.5901014349634791,2,1,1
2012,0.83,-0.808684133072639,2,1,1
2015,0.55,-0.777825399221934,2,1,1
2014,0.64,-0.5978161184261553,2,1,1
2017,0.51,-0.9166897015501063,2,1,0
2015,0.72,0.042502608975971946,2,1,1
2014,0.52,-0.4615233772522086,2,1,0
2010,1.05,4.527305261945088,2,1,1
2012,0.51,0.5928166959802099,2,1,1
2016,0.48,0.3356605805576688,2,1,1
2013,0.58,-0.1786516502874134,2,1,1
2013,0.47,-0.41009215416770034,2,1,1
2008,0.58,-0.9012603346247539,2,1,0
2010,0.52,-0.38437654262544624,2,1,0
2013,0.51,-0.12722042720290516,2,1,1
2013,0.57,-0.4872389887944627,2,1,1
2005,0.57,0.4642386382689393,2,1,1
2008,0.75,0.5928166959802099,2,1,1
2012,0.57,-0.30722970799868393,2,1,1
2007,0.75,0.3099449690154147,2,1,1
2013,0.65,-0.33294531954093803,2,1,1
2008,0.52,11.907685774572018,2,1,0
2011,0.57,-0.05007359257614284,2,1,1
2007,0.58,0.4128074151844311,2,1,1
2010,6.79,0.5413854728957016,1,0,1
2015,5.7,-0.22493975106347078,2,0,1
2011,4.6,0.424636596493868,2,0,1
2015,4.43,-0.22283107091700594,2,0,1
2016,5.7,-0.860295365437943,2,0,1
2015,5.7,-0.055293861719220426,2,0,0
2017,8.1,-0.8617868709073938,2,0,1
2015,5.7,-0.4068777027249186,1,0,1
2012,4.6,-0.030143993630895906,2,0,1
2015,14.79,0.16940915193699596,1,0,1
2016,13.6,-0.36712136728059375,2,0,1
2017,5.7,-0.4328761859941375,2,0,1
2012,9.4,-0.021786419879663323,2,0,1
2016,4.43,-0.6286748522768603,2,0,1
2016,4.43,-0.564385823421225,2,0,1
2014,9.4,0.20908834054669406,2,0,1
2012,9.4,-0.024357981033888733,2,0,1
2017,4.43,0.03962246048323949,2,0,1
2013,6.79,-0.12722042720290516,2,0,0
2015,9.4,0.6283299555200628,1,0,1
2013,9.4,-0.01926628994852242,2,0,0
2011,4.6,-0.3710815714581009,2,0,1
2011,4.43,0.5156698613534475,2,0,1
2012,9.4,0.5928166959802099,1,0,1
2012,6.79,0.39048626436575457,1,0,1
2013,9.4,0.20708252284639825,1,0,1
2017,9.4,-0.5643601078096827,2,0,1
2015,14.79,-0.6183886076599586,2,0,0
2015,5.7,-0.8346054695072311,2,0,1
2017,9.4,-0.5607599221937671,2,0,1
2013,9.4,0.5990141583618931,2,0,1
2012,9.4,-0.11894000028629935,1,0,1
2015,7.13,-0.027803872980550783,2,0,1
2014,7.13,-0.07578920411839694,2,0,1
2016,7.6,-0.7701107157592578,2,0,1
2013,9.4,0.3099449690154147,1,0,1
2012,9.4,0.875688422945005,1,0,1
2012,6.79,-0.05007359257614284,2,0,1
2015,9.4,-0.024357981033888733,2,0,1
2016,7.6,-0.5129546003367168,2,0,1
2016,13.6,-0.026055211395677503,1,0,1
2013,9.9,0.5079808935023136,2,0,1
2013,9.9,0.4447462047199107,2,0,1
2016,13.6,0.32439714270216147,2,0,1
2015,13.6,0.08683632327481804,2,0,1
2015,13.6,-0.30722970799868393,2,0,1
2016,13.6,-0.19863268045574484,2,0,1
2016,5.97,-0.8061125719184136,2,0,1
2016,7.7,-0.5386187806558864,2,0,1
2015,7.0,0.0791730710352263,2,0,1
2017,8.7,-0.4049490318592495,2,0,1
2016,9.4,-0.4503628018428703,1,0,1
2017,5.8,-0.4615233772522086,2,0,1
2015,10.0,-0.4659464624374763,2,0,1
2009,10.0,0.8387093735472436,2,0,1
2015,10.0,-0.24036911798882324,2,0,1
2010,7.5,0.6237525766655415,2,0,1
2014,6.8,-0.5258124061078439,2,0,1
2015,13.6,-0.31237283030713475,2,0,1
2015,13.6,-0.39003397716474214,2,0,1
2016,8.4,-0.8472575503860202,2,0,1
2014,13.6,0.08174463218945172,2,0,1
2015,5.9,-0.578143675596331,2,0,1
2006,7.6,0.34738689942093665,2,0,1
2014,14.0,0.6699635306069722,1,0,1
2013,5.9,-0.6981070034409463,2,0,1
2016,8.5,-0.5628686023402321,2,0,0
2016,7.9,-0.215450690404379,2,0,1
2016,13.6,-0.6677625818210865,2,0,1
2014,6.4,-0.4615233772522086,2,0,1
2016,8.4,-0.6415326580479873,2,0,1
2010,9.9,0.027073242050619485,2,0,1
2014,6.8,-0.10101621904134823,2,0,1
2015,13.09,0.5947710824574212,1,0,1
2016,11.6,-0.076097791456904,1,0,1
2015,5.9,0.5928166959802099,2,0,1
2009,11.0,1.3111565888015362,2,0,1
2017,12.5,-0.7186794926747496,1,0,1
2016,5.9,-0.8096098950881602,2,0,1
