Year,Present_Price,Kms_Driven,Owner,Transmission
2014,14.0,63000,0,1
2016,11.8,9010,0,1
2013,5.9,9800,0,1
2016,7.9,28569,0,1
2015,7.5,44000,0,0
2015,13.6,34000,0,1
2016,13.6,10980,0,1
2016,8.4,12000,0,1
2010,9.9,38000,0,1
2014,6.8,33019,0,1
2015,13.09,60076,0,1
2009,11.0,87934,0,1
