Year,Present_Price,Kms_Driven,Owner,Fuel_Type,Seller_Type,Transmission
2013,9.9,54242,0,2,0,1
2012,5.35,53675,0,2,0,1
2016,13.6,49562,0,2,0,1
2014,7.0,36054,0,2,0,1
2016,13.6,29223,0,2,0,1
2016,5.97,5600,0,2,0,1
2015,5.8,40023,0,2,0,1
2016,7.7,16002,0,2,0,1
2016,9.4,19434,0,1,0,1
2017,5.8,19000,0,2,0,1
2015,10.0,18828,0,2,0,1
2011,10.0,69341,0,2,0,1
2010,7.5,61203,0,2,0,1
2016,13.6,30753,0,2,0,0
2015,13.6,24800,0,2,0,1
2016,8.4,4000,0,2,0,1
2006,7.6,50456,0,2,0,1
2014,14.0,63000,0,1,0,1
2016,11.8,9010,0,2,0,1
2013,5.9,9800,0,2,0,1
2016,8.5,15059,0,2,0,0
2015,13.6,34000,0,2,0,1
2016,13.6,10980,0,2,0,1
2014,6.4,19000,0,2,0,1
2010,9.9,38000,0,2,0,1
2014,6.8,33019,0,2,0,1
2016,11.6,33988,0,1,0,1
2015,5.9,60000,0,2,0,1
2009,11.0,87934,0,2,0,1
2017,12.5,9000,0,1,0,1
